MÊS,METROPOLITANO (VT/COMUM),ESCOLAR,ESPECIAL,PASSE LIVRE,SÊNIOR,TOTAL
jan/2016,1,2,3,0,5,17
fev/2016,1,0,0,0,243,285
mar/2016,1,0,0,0,565,622
abr/2016,99,4,0,0,987,1090
mai/2016,690,9,4,0,1290,1993
jun/2016,11402,673,4,2531,26348,40958
jul/2016,35807,3241,117,4092,28660,71917
ago/2016,47359,4130,2835,5258,33171,92753
set/2016,52260,4489,3737,5764,34434,100684
out/2016,57389,4733,5221,6162,35567,109072
nov/2016,64149,4831,6182,6536,36500,118198
dez/2016,77262,4848,6721,6558,37380,132769
jan/2017,87021,4870,7407,6559,38480,144337
fev/2017,92501,5093,8086,6766,39236,151682
mar/2017,97515,6253,9061,8286,40737,161852
abr/2017,101265,6707,9655,8887,41879,168393
mai/2017,105525,7016,10716,9335,42979,175571
jun/2017,109187,7179,11643,9582,44249,181840
jul/2017,112795,7277,12384,9744,45434,187634
ago/2017,116491,7649,13196,10506,46725,194567
set/2017,124924,7885,13880,10922,48251,205862
out/2017,130469,8042,14547,11280,51178,215516
nov/2017,138350,8116,15288,11424,54348,227526
dez/2017,144611,8129,15890,11449,56791,236870
jan/2018,151400,8189,16383,11560,59454,246986
fev/2018,156244,8647,16866,12332,61402,255491
mar/2018,160401,9355,17528,13514,63393,264191
abr/2018,166668,9756,18297,14246,65243,274210
mai/2018,170610,10021,18927,14781,67181,281520
jun/2018,176877,10422,19696,14781,69031,290807
jul/2018,180359,10528,20485,14781,70785,296938
ago/2018,185082,10936,21259,16510,72622,306409
set/2018,188678,11219,21860,17062,74220,313039
out/2018,192894,11399,22462,17425,75923,320103
nov/2018,196398,11471,23046,17584,77454,325953
dez/2018,200718,11505,23526,17621,78577,331947
jan/2019,205223,12348,24024,20388,80360,342343
fev/2019,209269,13110,24562,24229,82103,353273
mar/2019,213206,13666,25161,25725,83682,361440
abr/2019,218613,14098,25890,26540,85399,370540
mai/2019,218617,14099,26170,26540,85399,370825
jun/2019,222009,14227,26925,26879,87102,377142
jul/2019,225521,14361,27569,27312,89030,383793
ago/2019,229018,14703,28548,28446,90812,391527
set/2019,232131,14971,29378,29030,92566,398076
out/2019,235427,15137,30160,29388,94490,404602
nov/2019,238577,15210,30803,29545,96179,410314
dez/2019,241744,15225,31500,29621,97538,415628
jan/2020,245878,15369,32038,32328,99437,425050
fev/2020,249677,16006,32647,35905,100797,435032
mar/2020,252487,16448,33096,37211,101936,441178
abr/2020,253777,16471,33256,44382,102143,450029
mai/2020,255088,16478,33319,44403,102360,451648
jun/2020,256774,16484,33481,44450,102830,454019
jul/2020,258747,16488,33837,44527,103345,456944
ago/2020,260919,16502,34228,44543,104139,460331
set/2020,263147,16513,34666,44562,105053,463941
out/2020,265824,19867,35060,51078,106342,478171
nov/2020,268369,19878,35521,51104,107420,482292
dez/2020,270889,19884,35941,51339,108333,486386
jan/2021,273478,19896,36350,51907,108600,490231
fev/2021,276617,20028,36861,52749,108979,495234
mar/2021,278973,20169,37444,53128,109151,498865
abr/2021,281126,20217,37750,53205,109315,501613
mai/2021,283798,20279,38219,53328,109622,505246
jun/2021,286536,20330,38832,53426,109943,509067
jul/2021,289538,20386,39338,53579,110293,513134
ago/2021,293137,20652,40091,54411,110929,519220
set/2021,296374,20859,40668,54781,111565,524247
out/2021,299818,21036,41252,55085,112010,529201
nov/2021,303425,21165,41932,55325,112553,534400
dez/2021,306571,21184,42659,55392,112952,538758
jan/2022,310120,21283,43031,56510,113309,544253
fev/2022,313889,21802,43576,58599,113740,551606
mar/2022,318160,22428,44500,59823,114132,559043
abr/2022,321893,22934,44990,60514,114541,564872
